epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
7,75.2714,0.58638,0.80941,2.33372,0.87476,0.01433,1,0.6251,0.46694,0.01433,1,0.65077,0.49494,0.45834,0.60326,2.877,0.80326,0.000105744,0.000105744,0.000105744
8,84.7179,0.66029,0.85772,2.19069,0.8523,0.01433,1,0.82072,0.73105,0.01433,1,0.83044,0.73452,0.45396,0.56581,2.6552,0.80102,0.000120596,0.000120596,0.000120596
9,94.0774,0.53117,0.73202,1.75474,0.8414,0.01433,1,0.93474,0.82937,0.01433,1,0.93838,0.82092,0.43635,0.54036,2.47781,0.81392,0.000134656,0.000134656,0.000134656
10,103.967,0.54003,0.71284,1.74508,0.81537,0.01433,1,0.96716,0.83677,0.01433,1,0.95724,0.86916,0.50029,0.54693,2.32823,0.81415,0.000147924,0.000147924,0.000147924
11,112.331,0.53365,0.68821,1.36937,0.84468,0.90116,0.95349,0.96646,0.8261,0.90116,0.95349,0.96246,0.85762,0.52929,0.57396,2.19302,0.81683,0.0001604,0.0001604,0.0001604
12,121.29,0.60091,0.67202,1.2842,0.8406,0.98279,0.83721,0.97862,0.8012,0.98279,0.83721,0.96596,0.86444,0.58348,0.61134,2.01858,0.82213,0.000172084,0.000172084,0.000172084
13,129.713,0.55516,0.58256,0.99512,0.80025,0.97495,0.90523,0.98019,0.78489,0.97495,0.90523,0.96922,0.85862,0.61596,0.62593,1.8355,0.83133,0.000182976,0.000182976,0.000182976
14,138.295,0.52561,0.61329,0.97588,0.84145,0.97549,0.92561,0.98189,0.73612,0.97513,0.91185,0.95293,0.83335,0.71736,0.67854,1.72348,0.84127,0.000193076,0.000193076,0.000193076
15,146.687,0.52068,0.60215,0.95918,0.82771,0.96458,0.93023,0.98173,0.77695,0.97533,0.9194,0.95338,0.82178,0.71396,0.73571,1.59526,0.84438,0.000202384,0.000202384,0.000202384
16,155.321,0.51137,0.66614,0.81557,0.82775,0.98453,0.93023,0.9903,0.80743,0.98453,0.93023,0.9903,0.88361,0.64882,0.6064,1.48051,0.83297,0.0002109,0.0002109,0.0002109
17,166.505,0.50121,0.59908,0.7586,0.83294,1,0.94878,0.99365,0.83652,1,0.94878,0.99365,0.88447,0.56444,0.62891,1.38485,0.81758,0.000218624,0.000218624,0.000218624
18,177.249,0.50367,0.58491,0.81957,0.85165,1,0.94878,0.99365,0.83652,1,0.94878,0.99365,0.88447,0.56444,0.62891,1.38485,0.81758,0.000225556,0.000225556,0.000225556
19,186.929,0.55758,0.67664,0.8363,0.84786,0.9764,0.96213,0.98945,0.85101,0.9764,0.96213,0.98945,0.89651,0.53342,0.57071,1.34272,0.81028,0.000231696,0.000231696,0.000231696
20,195.675,0.53171,0.64759,0.82605,0.84271,0.9764,0.96213,0.98945,0.85101,0.9764,0.96213,0.98945,0.89651,0.53342,0.57071,1.34272,0.81028,0.000237044,0.000237044,0.000237044
21,204.401,0.55734,0.74936,0.80159,0.82099,0.97628,0.95742,0.98748,0.85514,0.97628,0.95742,0.98748,0.89397,0.55089,0.53078,1.33189,0.80861,0.0002416,0.0002416,0.0002416
22,212.923,0.51164,0.56045,0.73694,0.80873,0.97628,0.95742,0.98748,0.85514,0.97628,0.95742,0.98748,0.89397,0.55089,0.53078,1.33189,0.80861,0.000245364,0.000245364,0.000245364
23,221.539,0.46271,0.52026,0.72295,0.80286,0.97567,0.93261,0.98702,0.82933,0.97567,0.93261,0.98702,0.8935,0.57225,0.50231,1.32757,0.81062,0.000248336,0.000248336,0.000248336
24,229.976,0.52393,0.61886,0.77047,0.82845,0.97567,0.93261,0.98702,0.82933,0.97567,0.93261,0.98702,0.8935,0.57225,0.50231,1.32757,0.81062,0.000250516,0.000250516,0.000250516
25,238.431,0.50708,0.56411,0.74245,0.83437,0.97553,0.92702,0.98602,0.82325,0.97553,0.92702,0.98602,0.88243,0.55758,0.50648,1.33597,0.81168,0.000251904,0.000251904,0.000251904
26,246.469,0.47184,0.50653,0.83344,0.81341,0.97553,0.92702,0.98602,0.82325,0.97553,0.92702,0.98602,0.88243,0.55758,0.50648,1.33597,0.81168,0.0002525,0.0002525,0.0002525
27,254.857,0.44933,0.52034,0.6729,0.81917,0.97502,0.90786,0.98548,0.82759,0.97502,0.90786,0.98548,0.88602,0.51641,0.49636,1.38452,0.80878,0.000252304,0.000252304,0.000252304
28,263.58,0.5058,0.59607,0.68136,0.84135,0.97502,0.90786,0.98548,0.82759,0.97502,0.90786,0.98548,0.88602,0.51641,0.49636,1.38452,0.80878,0.000251316,0.000251316,0.000251316
29,272.832,0.42531,0.47367,0.68789,0.81944,1,0.89742,0.98585,0.85728,1,0.89742,0.98585,0.90344,0.47187,0.47284,1.44151,0.8044,0.000249536,0.000249536,0.000249536
30,281.234,0.4779,0.54956,0.71322,0.81754,1,0.89742,0.98585,0.85728,1,0.89742,0.98585,0.90344,0.47187,0.47284,1.44151,0.8044,0.000246964,0.000246964,0.000246964
31,289.619,0.45159,0.55264,0.65714,0.81339,1,0.89008,0.98456,0.86376,1,0.89008,0.98456,0.91586,0.47168,0.45127,1.48693,0.8039,0.0002436,0.0002436,0.0002436
32,298.03,0.4458,0.49972,0.66472,0.82287,1,0.89008,0.98456,0.86376,1,0.89008,0.98456,0.91586,0.47168,0.45127,1.48693,0.8039,0.000239444,0.000239444,0.000239444
33,306.292,0.36705,0.48731,0.6587,0.78544,1,0.87721,0.98694,0.88902,1,0.87721,0.98694,0.923,0.43502,0.44429,1.55593,0.79888,0.000234496,0.000234496,0.000234496
34,314.388,0.42852,0.4986,0.66105,0.8658,1,0.87721,0.98694,0.88902,1,0.87721,0.98694,0.923,0.43502,0.44429,1.55593,0.79888,0.000228756,0.000228756,0.000228756
35,322.664,0.38099,0.47987,0.61822,0.78494,1,0.84265,0.99076,0.90632,1,0.84265,0.99076,0.92561,0.3959,0.43097,1.61612,0.79378,0.000222224,0.000222224,0.000222224
36,331.124,0.39267,0.47626,0.61692,0.82333,1,0.84265,0.99076,0.90632,1,0.84265,0.99076,0.92561,0.3959,0.43097,1.61612,0.79378,0.0002149,0.0002149,0.0002149
37,339.719,0.3884,0.48151,0.59831,0.82521,1,0.82584,0.99411,0.92179,1,0.82584,0.99411,0.93133,0.36654,0.42573,1.66967,0.7917,0.000206784,0.000206784,0.000206784
38,348.159,0.42085,0.50859,0.60206,0.82845,1,0.82584,0.99411,0.92179,1,0.82584,0.99411,0.93133,0.36654,0.42573,1.66967,0.7917,0.000197876,0.000197876,0.000197876
39,357.303,0.40657,0.4702,0.58068,0.82324,1,0.82138,0.99455,0.92235,1,0.82138,0.99455,0.92753,0.35119,0.41659,1.71281,0.78958,0.000188176,0.000188176,0.000188176
40,366.926,0.40329,0.51083,0.5797,0.8094,1,0.82138,0.99455,0.92235,1,0.82138,0.99455,0.92753,0.35119,0.41659,1.71281,0.78958,0.000177684,0.000177684,0.000177684
41,375.64,0.35689,0.44509,0.6929,0.75585,1,0.81956,0.995,0.93245,1,0.81956,0.995,0.94365,0.35017,0.40908,1.74082,0.78794,0.0001664,0.0001664,0.0001664
42,383.912,0.3367,0.43331,0.67835,0.80985,1,0.81956,0.995,0.93245,1,0.81956,0.995,0.94365,0.35017,0.40908,1.74082,0.78794,0.000154324,0.000154324,0.000154324
43,392.304,0.43186,0.43646,0.73108,0.80587,1,0.80217,0.995,0.93412,1,0.80217,0.995,0.94108,0.348,0.40508,1.77991,0.78426,0.000141456,0.000141456,0.000141456
44,414.138,0.30151,0.40674,0.68577,0.77656,1,0.80217,0.995,0.93412,1,0.80217,0.995,0.94108,0.348,0.40508,1.77991,0.78426,0.000127796,0.000127796,0.000127796
45,423.532,0.39024,0.43675,0.68457,0.78616,1,0.7981,0.995,0.93609,1,0.7981,0.995,0.93672,0.34561,0.4,1.79978,0.78234,0.000113344,0.000113344,0.000113344
46,431.528,0.39574,0.43343,0.67559,0.78237,1,0.7981,0.995,0.93609,1,0.7981,0.995,0.93672,0.34561,0.4,1.79978,0.78234,9.81e-05,9.81e-05,9.81e-05
47,439.551,0.34029,0.45043,0.61611,0.73847,1,0.85247,0.995,0.94652,1,0.85247,0.995,0.93875,0.33731,0.39418,1.80406,0.78061,8.2064e-05,8.2064e-05,8.2064e-05
48,447.62,0.38114,0.41841,0.67541,0.78459,1,0.85247,0.995,0.94652,1,0.85247,0.995,0.93875,0.33731,0.39418,1.80406,0.78061,6.5236e-05,6.5236e-05,6.5236e-05
49,456.203,0.35267,0.42641,0.60698,0.77442,1,0.83349,0.995,0.95988,1,0.83349,0.995,0.93657,0.32921,0.3905,1.79047,0.78029,4.7616e-05,4.7616e-05,4.7616e-05
50,464.353,0.30444,0.39708,0.62974,0.77279,1,0.83349,0.995,0.95988,1,0.83349,0.995,0.93657,0.32921,0.3905,1.79047,0.78029,2.9204e-05,2.9204e-05,2.9204e-05
1,10.3213,0.80095,1.50574,3.2065,0.99816,0.014,0.97674,0.04263,0.03288,0.014,0.97674,0.08028,0.03587,0.36147,0.95213,3.05116,0.85817,8e-05,8e-05,8e-05
2,17.6387,0.58715,1.10978,2.90871,0.95296,0.01433,1,0.06548,0.04878,0.01433,1,0.10071,0.04773,0.344,0.8261,3.03097,0.83597,0.000176436,0.000176436,0.000176436
3,25.2235,0.61092,0.99201,2.33463,0.90204,0.01433,1,0.16951,0.10167,0.01433,1,0.21628,0.12491,0.44389,0.73873,3.00759,0.82844,0.000268912,0.000268912,0.000268912
4,32.5785,0.73545,0.97055,2.24546,0.88972,0.01433,1,0.66079,0.54017,0.01433,1,0.66079,0.54493,0.52681,0.68799,2.77801,0.81605,0.000357428,0.000357428,0.000357428
5,40.055,0.69787,0.89053,2.00101,0.87124,1,0.63465,0.95902,0.74875,1,0.63465,0.95902,0.8362,0.67545,0.64895,2.18386,0.83966,0.000441984,0.000441984,0.000441984
6,47.5286,0.66867,0.67514,1.36994,0.88175,1,0.63465,0.95902,0.74875,1,0.63465,0.95902,0.8362,0.67545,0.64895,2.18386,0.83966,0.00052258,0.00052258,0.00052258
7,55.077,0.58856,0.61015,1.2118,0.84504,1,0.63465,0.95902,0.74875,1,0.63465,0.95902,0.8362,0.67545,0.64895,2.18386,0.83966,0.000599216,0.000599216,0.000599216
8,64.0885,0.71019,0.77412,1.19488,0.85659,1,0.948,0.97575,0.76975,1,0.948,0.97575,0.85079,0.75448,0.69634,1.24419,0.87168,0.000671892,0.000671892,0.000671892
9,72.5178,0.63552,0.63175,1.0573,0.85575,1,0.948,0.97575,0.76975,1,0.948,0.97575,0.85079,0.75448,0.69634,1.24419,0.87168,0.000740608,0.000740608,0.000740608
10,81.283,0.74945,0.65875,1.02564,0.84981,1,0.948,0.97575,0.76975,1,0.948,0.97575,0.85079,0.75448,0.69634,1.24419,0.87168,0.000805364,0.000805364,0.000805364
11,89.6686,0.65252,0.7546,1.06738,0.87184,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.00086616,0.00086616,0.00086616
12,98.6558,0.72266,1.00987,1.06996,0.86397,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.000922996,0.000922996,0.000922996
13,107.799,0.68837,0.87342,1.11985,0.87347,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.000975872,0.000975872,0.000975872
14,119.386,0.70003,0.77278,0.96632,0.88863,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.00102479,0.00102479,0.00102479
15,130.054,0.67829,0.79789,0.97747,0.8533,0.99138,0.93023,0.97383,0.67095,0.79138,0.74419,0.73601,0.46985,0.98012,2.97617,1.16619,0.88893,0.00106974,0.00106974,0.00106974
16,139.054,0.67109,0.88964,1.23799,0.8907,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00111074,0.00111074,0.00111074
17,147.242,0.69242,0.89036,1.03168,0.89776,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00114778,0.00114778,0.00114778
18,154.536,0.73724,0.8685,1.35608,0.92188,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00118085,0.00118085,0.00118085
19,162.064,0.73049,1.10872,1.2377,0.93128,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00120997,0.00120997,0.00120997
20,169.245,0.70393,1.02624,1.32479,0.92512,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.00123512,0.00123512,0.00123512
21,176.566,0.74975,1.07198,1.36946,0.89257,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.001208,0.001208,0.001208
22,183.961,0.74534,0.82762,0.98287,0.87401,0.91448,0.99481,0.98892,0.68742,0.91448,0.99481,0.98892,0.73867,0.74298,1.26705,1.07863,0.85058,0.0011684,0.0011684,0.0011684
23,191.23,0.61787,0.79546,1.05965,0.85835,0.95519,0.99167,0.9735,0.80402,0.95519,0.99167,0.9735,0.86108,0.51397,0.67969,0.87413,0.82149,0.0011288,0.0011288,0.0011288
24,198.621,0.69578,0.8966,1.05961,0.88605,0.95519,0.99167,0.9735,0.80402,0.95519,0.99167,0.9735,0.86108,0.51397,0.67969,0.87413,0.82149,0.0010892,0.0010892,0.0010892
