epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,271.372,0.7265,3.92666,0.66774,0.59826,1.64062,0.99542,0.23256,0.2887,0.2887,0.99542,0.23256,0.2887,0.1288,0.27333,4.06656,0.663,0.53518,0.46275,0.000127796,0.000127796,0.000127796
45,277.142,0.34609,3.2884,0.67828,0.57233,1.10363,0.9954,0.23256,0.30832,0.30832,0.9954,0.23256,0.31967,0.1382,0.23989,3.70312,0.66066,0.48352,0.40642,0.000113344,0.000113344,0.000113344
46,282.748,0.34087,3.03069,0.67547,0.51458,1.04724,0.9954,0.23256,0.30832,0.30832,0.9954,0.23256,0.31967,0.1382,0.23989,3.70312,0.66066,0.48352,0.40642,9.81e-05,9.81e-05,9.81e-05
47,289.144,0.30477,3.02607,0.69889,0.38679,1.07377,0.99539,0.23256,0.32165,0.32165,0.99539,0.23256,0.33489,0.14959,0.22985,3.46778,0.65869,0.46759,0.39546,8.2064e-05,8.2064e-05,8.2064e-05
48,295.098,0.2908,3.33382,0.67075,0.38699,1.04003,0.99539,0.23256,0.32165,0.32165,0.99539,0.23256,0.33489,0.14959,0.22985,3.46778,0.65869,0.46759,0.39546,6.5236e-05,6.5236e-05,6.5236e-05
49,301.395,0.30796,3.44932,0.67205,0.4096,1.12531,0.9954,0.23256,0.34714,0.34714,0.9954,0.23256,0.34714,0.16271,0.22587,3.39215,0.65761,0.45863,0.39452,4.7616e-05,4.7616e-05,4.7616e-05
50,307.776,0.30437,3.65781,0.67375,0.35937,1.13004,0.9954,0.23256,0.34714,0.34714,0.9954,0.23256,0.34714,0.16271,0.22587,3.39215,0.65761,0.45863,0.39452,2.9204e-05,2.9204e-05,2.9204e-05
1,10.1636,2.55035,4.62635,0.70022,2.82083,2.90856,0.01961,0.02326,0.01101,0.0033,0.43137,0.51163,0.44374,0.34589,4.36416,6.70703,0.69433,4.26827,4.22388,0,0,0
2,19.3778,2.49286,3.4825,0.70928,3.42967,2.84049,0.03922,0.04651,0.02259,0.00467,0.45098,0.53488,0.48287,0.3647,4.18446,6.58766,0.69427,4.10155,4.10145,1.9604e-05,1.9604e-05,1.9604e-05
3,30.4642,2.44426,2.57022,0.72187,2.97403,2.72576,0.03846,0.04651,0.02419,0.0063,0.38462,0.46512,0.45781,0.33357,3.82172,6.49785,0.69437,3.71696,3.8641,3.8416e-05,3.8416e-05,3.8416e-05
